book,chapter,topic,verses
2Kgs,22,Josiah Reigns in Judah,1-2
2Kgs,22,Josiah Repairs the Temple,3-7
2Kgs,22,Hilkiah Finds the Book of the Law,8-20
2Kgs,23,Josiah's Reforms,1-20
2Kgs,23,Josiah Restores the Passover,21-27
2Kgs,23,Josiah's Death in Battle,28-30
2Kgs,23,Jehoahaz's Reign and Captivity,31-35
2Kgs,23,Jehoiakim Reigns in Judah,36-37
2Kgs,24,Jehoiakim Reigns in Judah,1-7
2Kgs,24,Jehoiachin Reigns in Judah,8-9
2Kgs,24,Jerusalem Captured,10-17
2Kgs,24,Zedekiah Reigns in Judah,18-20
2Kgs,25,Fall and Captivity of Judah,1-21
2Kgs,25,Gedaliah Made Governor of Judah,22-26
2Kgs,25,Jehoiachin Released from Prison,27-30
Josh,1,God Commissions Joshua,1-9
Josh,1,Joshua Assumes Command,10-18
Josh,5,The New Generation Circumcised,1-9
Josh,5,First Passover in Canaan,10-12
Josh,5,The Commander of the Lord's Army,13-15
Josh,6,The Fall of Jericho,1-27
Josh,12,Kings Defeated by Moses,1-6
Josh,12,Kings Defeated by Joshua,7-24
Josh,23,Joshua's Charge to Israel's Leaders,1-16
Judg,2,Israel's Disobedience,1-5
Judg,2,The Death of Joshua,6-10
Judg,2,Israel's Unfaithfulness,11-15
Judg,2,The Lord Raises Up Judges,16-23
Judg,6,Midian Oppresses Israel,1-10
Judg,6,Midian Oppresses Israel,11-27
Judg,6,Gideon Destroys the Altar of Baal,28-35
Judg,6,The Sign of the Fleece,36-40
Esth,1,The King's Banquets,1-9
Esth,1,Queen Vashti's Refusal,10-22
Esth,2,Esther Chosen Queen,1-18
Esth,2,Mordecai Discovers a Plot,9-23
Esth,3,Haman Plots Against the Jews,1-15
Esth,4,Esther Agrees to Help the Jews,1-17
Esth,5,Esther Prepares a Banquet,1-8
Esth,5,Haman Plans to Hang Mordecai,9-14
Esth,6,The King Honors Mordecai,1-13
Esth,6,Esther Reveals Haman's Plot,14-14
Esth,7,Esther Reveals Haman's Plot,1-6
Esth,7,Haman Is Hanged,7-10
Esth,8,Esther Saves the Jews,1-17
Esth,9,The Jews Destroy Their Enemies,1-19
Esth,9,The Feast of Purim Inaugurated,20-32
Esth,10,The Greatness of Mordecai,1-3
1Chr,12,The Mighty Men Join David,1-40
1Chr,20,,
1Chr,22,David Builds an Altar,1-1
1Chr,22,David Prepares for Temple Building,2-5
1Chr,22,Solomon Charged to Build the Temple,6-19
1Chr,23,David Organizes the Levites,1-32
1Chr,24,David Organizes the Priests,1-31
1Chr,25,David Organizes the Musicians,1-31
1Chr,26,Divisions of the Gatekeepers,1-19
1Chr,26,Treasurers and Other Officials,20-32
1Chr,27,Military Divisions,1-15
1Chr,27,Leaders of Tribes,16-34
1Chr,28,David's Charge to Israel,1-8
1Chr,28,David's Charge to Solomon,9-21
1Chr,29,Offerings for the Temple,1-9
1Chr,29,David Prays in the Assembly,10-22
1Chr,29,Solomon Anointed King,22-25
1Chr,29,The Death of David,26-30
2Chr,19,Jehoshaphat's Reforms,1-11
2Chr,20,Jehoshaphat's Prayer,1-23
2Chr,20,The Lord Delivers Judah,24-34
2Chr,20,The End of Jehoshaphat's Reign,35-37
2Chr,29,Hezekiah Reigns in Judah,1-2
2Chr,29,Hezekiah Cleanses the Temple,3-19
2Chr,29,Hezekiah Restores Temple Worship,20-36
2Chr,30,Passover Celebrated,1-27
2Chr,31,Hezekiah Organizes the Priests,1-21
2Chr,33,Manasseh Reigns in Judah,1-9
2Chr,33,Manasseh's Repentance,10-20
2Chr,33,Amon's Reign and Death,21-25
2Chr,34,Josiah Reigns in Judah,1-7
2Chr,34,The Book of the Law Found,8-21
2Chr,34,Huldah Prophesies Disaster,22-33
2Chr,36,Judah's Decline,1-16
2Chr,36,Jerusalem Captured and Burned,17-21
2Chr,36,The Proclamation of Cyrus,22-23
Prov,10,The Proverbs of Solomon,1-32
Prov,11,The Proverbs of Solomon,1-31
Prov,12,The Proverbs of Solomon,1-28
Prov,13,The Proverbs of Solomon,1-25
Prov,14,The Proverbs of Solomon,1-35
Prov,15,The Proverbs of Solomon,1-33
Prov,16,The Proverbs of Solomon,1-33
Prov,17,The Proverbs of Solomon,1-28
Prov,18,The Proverbs of Solomon,1-24
Prov,19,The Proverbs of Solomon,1-29
Prov,20,The Proverbs of Solomon,1-30
Prov,21,The Proverbs of Solomon,1-31
Prov,22,The Proverbs of Solomon,1-16
Prov,22,Words of the Wise,17-29
Prov,23,Words of the Wise,1-35
Prov,24,Words of the Wise,1-22
Prov,24,More Sayings of the Wise,23-34
Prov,25,More Proverbs of Solomon,1-28
Prov,26,More Proverbs of Solomon,1-28
Prov,27,More Proverbs of Solomon,1-27
Prov,28,More Proverbs of Solomon,1-28
Prov,29,More Proverbs of Solomon,1-27
Prov,30,The Words of Agur,1-33
Prov,31,The Words of King Lemuel,1-9
Prov,31,The Woman Who Fears the Lord,10-31
